ensembl_gene_id	external_gene_name	gene_biotype	description
ENSRNOG00000002223	AABR07012587.1	protein_coding	hypothetical LOC100360229 [Source:RGD Symbol;Acc:2322521]
ENSRNOG00000002332	Mospd1	protein_coding	motile sperm domain containing 1 [Source:RGD Symbol;Acc:1359486]
ENSRNOG00000002340		protein_coding	ribosomal protein L36-like [Source:RGD Symbol;Acc:2320881]
ENSRNOG00000002628	Vom2r32	protein_coding	vomeronasal type-2 receptor 116-like [Source:RGD Symbol;Acc:11435644]
ENSRNOG00000002641	Vom2r28	protein_coding	vomeronasal 2 receptor, 28 [Source:RGD Symbol;Acc:1565786]
ENSRNOG00000004144	AABR07001435.1	protein_coding	
ENSRNOG00000004273	Ifitm1	protein_coding	interferon induced transmembrane protein 1 [Source:RGD Symbol;Acc:1307601]
ENSRNOG00000004978	Prkacb	protein_coding	protein kinase cAMP-activated catalytic subunit beta [Source:RGD Symbol;Acc:1310574]
ENSRNOG00000006030	Ptprz1	protein_coding	protein tyrosine phosphatase, receptor type Z, polypeptide 1 [Source:MGI Symbol;Acc:MGI:97816]
ENSRNOG00000006655	Plrg1	protein_coding	pleiotropic regulator 1 [Source:RGD Symbol;Acc:621047]
ENSRNOG00000006675	Fabp1	protein_coding	fatty acid binding protein 1 [Source:RGD Symbol;Acc:2590]
ENSRNOG00000006962	Stk32c	protein_coding	serine/threonine kinase 32C [Source:RGD Symbol;Acc:1305864]
ENSRNOG00000007092	Fgb	protein_coding	fibrinogen beta chain [Source:RGD Symbol;Acc:2604]
ENSRNOG00000007234	Cyp51	protein_coding	cytochrome P450, family 51 [Source:RGD Symbol;Acc:2481]
ENSRNOG00000007608	Fezf1	protein_coding	Fez family zinc finger 1 [Source:RGD Symbol;Acc:1560480]
ENSRNOG00000008121	Slc13a1	protein_coding	solute carrier family 13 member 1 [Source:RGD Symbol;Acc:61919]
ENSRNOG00000008463	Rundc3b	protein_coding	RUN domain containing 3B [Source:RGD Symbol;Acc:1587590]
ENSRNOG00000008721	Crnn	protein_coding	cornulin [Source:RGD Symbol;Acc:1311778]
ENSRNOG00000008748	Pex2	protein_coding	peroxisomal biogenesis factor 2 [Source:RGD Symbol;Acc:61814]
ENSRNOG00000008765	Zfhx4	protein_coding	zinc finger homeobox 4 [Source:RGD Symbol;Acc:1563022]
ENSRNOG00000008815	Fbxo46	protein_coding	F-box protein 46 [Source:RGD Symbol;Acc:1308393]
ENSRNOG00000008824	Vax1	protein_coding	ventral anterior homeobox 1 [Source:RGD Symbol;Acc:621132]
ENSRNOG00000008890	Slc18a2	protein_coding	solute carrier family 18 member A2 [Source:RGD Symbol;Acc:3694]
ENSRNOG00000008971	Hnf4g	protein_coding	hepatocyte nuclear factor 4, gamma [Source:RGD Symbol;Acc:1310102]
ENSRNOG00000008980	Rbm48	protein_coding	RNA binding motif protein 48 [Source:RGD Symbol;Acc:1310794]
ENSRNOG00000009004	Lrriq4	protein_coding	leucine-rich repeats and IQ motif containing 4 [Source:RGD Symbol;Acc:2323202]
ENSRNOG00000009057	Sec62	protein_coding	SEC62 homolog, preprotein translocation factor [Source:RGD Symbol;Acc:1308862]
ENSRNOG00000009135	1700109H08Rik	protein_coding	similar to EF hand calcium binding domain 1 [Source:RGD Symbol;Acc:1588445]
ENSRNOG00000009146	Vom2r26	protein_coding	vomeronasal 2 receptor, 26 [Source:RGD Symbol;Acc:1304946]
ENSRNOG00000009168	Sprr2d	protein_coding	small proline-rich protein 2D [Source:RGD Symbol;Acc:7559659]
ENSRNOG00000009172	Cpvl	protein_coding	carboxypeptidase, vitellogenic-like [Source:RGD Symbol;Acc:1563609]
ENSRNOG00000009176	Mkrn2	protein_coding	makorin, ring finger protein, 2 [Source:RGD Symbol;Acc:1310618]
ENSRNOG00000009205	Lmo4	protein_coding	LIM domain only 4 [Source:RGD Symbol;Acc:1305670]
ENSRNOG00000009258	Cdk6	protein_coding	cyclin-dependent kinase 6 [Source:RGD Symbol;Acc:621121]
ENSRNOG00000009276	Schip1	protein_coding	schwannomin interacting protein 1 [Source:RGD Symbol;Acc:1309962]
ENSRNOG00000009310	Nmd3	protein_coding	NMD3 ribosome export adaptor [Source:RGD Symbol;Acc:1308468]
ENSRNOG00000009314	Ivl	protein_coding	involucrin [Source:RGD Symbol;Acc:620141]
ENSRNOG00000009326	Smcp	protein_coding	sperm mitochondria-associated cysteine-rich protein [Source:RGD Symbol;Acc:3069]
ENSRNOG00000009339	Cenpe	protein_coding	centromere protein E [Source:RGD Symbol;Acc:1307115]
ENSRNOG00000009345	Ugt8	protein_coding	UDP glycosyltransferase 8 [Source:RGD Symbol;Acc:3938]
ENSRNOG00000009372	Tacr3	protein_coding	tachykinin receptor 3 [Source:RGD Symbol;Acc:3810]
ENSRNOG00000009383		protein_coding	late cornified envelope protein 5A-like [Source:RGD Symbol;Acc:7624666]
ENSRNOG00000009433	Mcub	protein_coding	mitochondrial calcium uniporter dominant negative subunit beta [Source:RGD Symbol;Acc:1305326]
ENSRNOG00000009460	Pdzd8	protein_coding	PDZ domain containing 8 [Source:RGD Symbol;Acc:1308622]
ENSRNOG00000009462	Ccdc90b	protein_coding	coiled-coil domain containing 90B [Source:RGD Symbol;Acc:1308637]
ENSRNOG00000009465	Sfrp2	protein_coding	secreted frizzled-related protein 2 [Source:RGD Symbol;Acc:735163]
ENSRNOG00000009468	Il12a	protein_coding	interleukin 12A [Source:RGD Symbol;Acc:620562]
ENSRNOG00000009482	Emx2	protein_coding	empty spiracles homeobox 2 [Source:RGD Symbol;Acc:1564797]
ENSRNOG00000009487	Gpr160	protein_coding	G protein-coupled receptor 160 [Source:RGD Symbol;Acc:1560200]
ENSRNOG00000009491	Phc3	protein_coding	polyhomeotic homolog 3 [Source:RGD Symbol;Acc:1307998]
ENSRNOG00000009503	Depdc1	protein_coding	DEP domain containing 1 [Source:RGD Symbol;Acc:1306987]
ENSRNOG00000009514	Mme	protein_coding	membrane metallo-endopeptidase [Source:RGD Symbol;Acc:3098]
ENSRNOG00000009523	Rab11fip2	protein_coding	RAB11 family interacting protein 2 [Source:RGD Symbol;Acc:1308538]
ENSRNOG00000009533	Erich3	protein_coding	glutamate-rich 3 [Source:RGD Symbol;Acc:1593279]
ENSRNOG00000009538	Etfdh	protein_coding	electron transfer flavoprotein dehydrogenase [Source:RGD Symbol;Acc:735052]
ENSRNOG00000009548	Fpgt	protein_coding	fucose-1-phosphate guanylyltransferase [Source:RGD Symbol;Acc:735121]
ENSRNOG00000009555	Lrriq3	protein_coding	leucine-rich repeats and IQ motif containing 3 [Source:RGD Symbol;Acc:1591943]
ENSRNOG00000009571	Wipf3	protein_coding	WAS/WASL interacting protein family, member 3 [Source:RGD Symbol;Acc:708559]
ENSRNOG00000009574	Crct1	protein_coding	cysteine-rich C-terminal 1 [Source:RGD Symbol;Acc:1588886]
ENSRNOG00000009577	Ndst4	protein_coding	N-deacetylase and N-sulfotransferase 4 [Source:RGD Symbol;Acc:1306531]
ENSRNOG00000009581	Lce1m	protein_coding	late cornified envelope 1M [Source:RGD Symbol;Acc:1588875]
ENSRNOG00000009582	Rpe65	protein_coding	retinoid isomerohydrolase RPE65 [Source:RGD Symbol;Acc:621396]
ENSRNOG00000009610		protein_coding	
ENSRNOG00000009629	Car2	protein_coding	carbonic anhydrase 2 [Source:RGD Symbol;Acc:2240]
ENSRNOG00000009652	Prkci	protein_coding	protein kinase C, iota [Source:RGD Symbol;Acc:620961]
ENSRNOG00000009664	Ankrd42	protein_coding	ankyrin repeat domain 42 [Source:RGD Symbol;Acc:1310789]
ENSRNOG00000009730	Cyp7b1	protein_coding	cytochrome P450 family 7 subfamily B member 1 [Source:RGD Symbol;Acc:2483]
ENSRNOG00000009748	Olr262	protein_coding	olfactory receptor 262 [Source:RGD Symbol;Acc:1334168]
ENSRNOG00000009771	Cdh10	protein_coding	cadherin 10 [Source:RGD Symbol;Acc:619741]
ENSRNOG00000009791	Olr259	protein_coding	olfactory receptor 259 [Source:RGD Symbol;Acc:1333441]
ENSRNOG00000009792	Zbbx	protein_coding	zinc finger, B-box domain containing [Source:RGD Symbol;Acc:1308632]
ENSRNOG00000009803	1110032F04Rik	protein_coding	RIKEN cDNA 1110032F04 gene [Source:MGI Symbol;Acc:MGI:1915975]
ENSRNOG00000009808	Ift80	protein_coding	intraflagellar transport 80 [Source:RGD Symbol;Acc:1312006]
ENSRNOG00000009812	Sbf2	protein_coding	SET binding factor 2 [Source:RGD Symbol;Acc:1588657]
ENSRNOG00000009821	Slitrk3	protein_coding	SLIT and NTRK-like family, member 3 [Source:RGD Symbol;Acc:1310506]
ENSRNOG00000009822	Tlr2	protein_coding	toll-like receptor 2 [Source:RGD Symbol;Acc:735138]
ENSRNOG00000009826	Bche	protein_coding	butyrylcholinesterase [Source:RGD Symbol;Acc:619996]
ENSRNOG00000009830	Fam204a	protein_coding	family with sequence similarity 204, member A [Source:RGD Symbol;Acc:1305500]
ENSRNOG00000009837	Tmem131l	protein_coding	transmembrane 131 like [Source:RGD Symbol;Acc:1583677]
ENSRNOG00000009845	Acadm	protein_coding	acyl-CoA dehydrogenase medium chain [Source:RGD Symbol;Acc:2012]
ENSRNOG00000009851	Slc38a9	protein_coding	solute carrier family 38, member 9 [Source:RGD Symbol;Acc:1311881]
ENSRNOG00000009882	Ppp3ca	protein_coding	protein phosphatase 3 catalytic subunit alpha [Source:RGD Symbol;Acc:3382]
ENSRNOG00000009891	Pcf11	protein_coding	PCF11 cleavage and polyadenylation factor subunit [Source:RGD Symbol;Acc:1563397]
ENSRNOG00000009899	Skil	protein_coding	SKI-like proto-oncogene [Source:RGD Symbol;Acc:621399]
ENSRNOG00000009903	Serpini2	protein_coding	serpin family I member 2 [Source:RGD Symbol;Acc:619897]
ENSRNOG00000009910	Swap70	protein_coding	switching B-cell complex subunit SWAP70 [Source:RGD Symbol;Acc:1305579]
ENSRNOG00000009922	Prlhr	protein_coding	prolactin releasing hormone receptor [Source:RGD Symbol;Acc:71037]
ENSRNOG00000009932	Mctp2	protein_coding	multiple C2 and transmembrane domain containing 2 [Source:RGD Symbol;Acc:1562967]
ENSRNOG00000009949	Pcdh18	protein_coding	protocadherin 18 [Source:RGD Symbol;Acc:1305870]
ENSRNOG00000009953	Snx16	protein_coding	sorting nexin 16 [Source:RGD Symbol;Acc:620295]
ENSRNOG00000009954	Cacul1	protein_coding	CDK2-associated, cullin domain 1 [Source:RGD Symbol;Acc:1308127]
ENSRNOG00000009955	Plch1	protein_coding	phospholipase C, eta 1 [Source:RGD Symbol;Acc:1561991]
ENSRNOG00000009968	Ercc8	protein_coding	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:RGD Symbol;Acc:1311570]
ENSRNOG00000009980	Plpp1	protein_coding	phospholipid phosphatase 1 [Source:RGD Symbol;Acc:621832]
ENSRNOG00000009990	Zranb2	protein_coding	zinc finger RANBP2-type containing 2 [Source:RGD Symbol;Acc:61854]
ENSRNOG00000009992	Rabggtb	protein_coding	Rab geranylgeranyltransferase subunit beta [Source:RGD Symbol;Acc:3530]
ENSRNOG00000009997	Erap1	protein_coding	endoplasmic reticulum aminopeptidase 1 [Source:RGD Symbol;Acc:708542]
ENSRNOG00000010017	Wee1	protein_coding	WEE1 G2 checkpoint kinase [Source:RGD Symbol;Acc:1307895]
ENSRNOG00000010023	Slc33a1	protein_coding	solute carrier family 33 member 1 [Source:RGD Symbol;Acc:620653]
ENSRNOG00000010047	Ddit4l	protein_coding	DNA-damage-inducible transcript 4-like 2 [Source:RGD Symbol;Acc:619738]
ENSRNOG00000010071	RGD1560010	protein_coding	RGD1560010 [Source:RGD Symbol;Acc:1560010]
ENSRNOG00000010079	Ca3	protein_coding	carbonic anhydrase 3 [Source:RGD Symbol;Acc:2241]
ENSRNOG00000010081	Tmem144	protein_coding	transmembrane protein 144 [Source:RGD Symbol;Acc:1565845]
ENSRNOG00000010084	Ythdf3	protein_coding	YTH N(6)-methyladenosine RNA binding protein 3 [Source:RGD Symbol;Acc:1305234]
ENSRNOG00000010087	Zfp143	protein_coding	zinc finger protein 143 [Source:RGD Symbol;Acc:1305662]
ENSRNOG00000010094	Kcnmb2	protein_coding	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:RGD Symbol;Acc:631398]
ENSRNOG00000010105	S100a11	protein_coding	S100 calcium binding protein A11 [Source:RGD Symbol;Acc:1303295]
ENSRNOG00000010117	Eif3a	protein_coding	eukaryotic translation initiation factor 3, subunit A [Source:RGD Symbol;Acc:1307269]
ENSRNOG00000010121	Lef1	protein_coding	lymphoid enhancer binding factor 1 [Source:RGD Symbol;Acc:620241]
ENSRNOG00000010124	Trim2	protein_coding	tripartite motif-containing 2 [Source:RGD Symbol;Acc:1310981]
ENSRNOG00000010125	Mtrex	protein_coding	Mtr4 exosome RNA helicase [Source:RGD Symbol;Acc:1305984]
ENSRNOG00000010146	Ndn	protein_coding	necdin, MAGE family member [Source:RGD Symbol;Acc:1310526]
ENSRNOG00000010147	Pdcd10	protein_coding	programmed cell death 10 [Source:RGD Symbol;Acc:1359329]
ENSRNOG00000010153	Raf1	protein_coding	Raf-1 proto-oncogene, serine/threonine kinase [Source:RGD Symbol;Acc:3531]
ENSRNOG00000010158	Magel2	protein_coding	MAGE family member L2 [Source:RGD Symbol;Acc:1583615]
ENSRNOG00000010161	Myo10	protein_coding	myosin X [Source:RGD Symbol;Acc:1307193]
ENSRNOG00000010172	Mkrn3	protein_coding	makorin, ring finger protein, 3 [Source:RGD Symbol;Acc:1311197]
ENSRNOG00000010183	Gask1b	protein_coding	golgi associated kinase 1B [Source:RGD Symbol;Acc:735075]
ENSRNOG00000010199	Glrb	protein_coding	glycine receptor, beta [Source:RGD Symbol;Acc:2706]
ENSRNOG00000010210	Slc7a11	protein_coding	solute carrier family 7 member 11 [Source:RGD Symbol;Acc:1309275]
ENSRNOG00000010224	Rab30	protein_coding	RAB30, member RAS oncogene family [Source:RGD Symbol;Acc:1309507]
ENSRNOG00000010230	Dennd10	protein_coding	DENN domain containing 10 [Source:RGD Symbol;Acc:1308326]
ENSRNOG00000010238	Chmp4c	protein_coding	charged multivesicular body protein 4C [Source:RGD Symbol;Acc:1564543]
ENSRNOG00000010248	Serpini1	protein_coding	serpin family I member 1 [Source:RGD Symbol;Acc:619896]
ENSRNOG00000010254	Htr1a	protein_coding	5-hydroxytryptamine receptor 1A [Source:RGD Symbol;Acc:2845]
ENSRNOG00000010263	Cldn11	protein_coding	claudin 11 [Source:RGD Symbol;Acc:71081]
ENSRNOG00000010266	Cd180	protein_coding	CD180 molecule [Source:RGD Symbol;Acc:1308170]
ENSRNOG00000010274	Smc4	protein_coding	structural maintenance of chromosomes 4 [Source:RGD Symbol;Acc:1306680]
ENSRNOG00000010280	Pde8b	protein_coding	phosphodiesterase 8B [Source:RGD Symbol;Acc:735041]
ENSRNOG00000010286	Cast	protein_coding	calpastatin [Source:RGD Symbol;Acc:2278]
ENSRNOG00000010306	H2az1	protein_coding	H2A.Z variant histone 1 [Source:RGD Symbol;Acc:621464]
ENSRNOG00000010308	Nr2f2	protein_coding	nuclear receptor subfamily 2, group F, member 2 [Source:RGD Symbol;Acc:69305]
ENSRNOG00000010325	Ptger3	protein_coding	prostaglandin E receptor 3 [Source:RGD Symbol;Acc:3435]
ENSRNOG00000010342	Zfand1	protein_coding	zinc finger AN1-type containing 1 [Source:RGD Symbol;Acc:1309519]
ENSRNOG00000010349	Ghrl	protein_coding	ghrelin and obestatin prepropeptide [Source:RGD Symbol;Acc:632283]
ENSRNOG00000010369	Dhx29	protein_coding	DExH-box helicase 29 [Source:RGD Symbol;Acc:2318361]
ENSRNOG00000010427	Ipo7	protein_coding	importin 7 [Source:RGD Symbol;Acc:1310849]
ENSRNOG00000010431	Msh4	protein_coding	mutS homolog 4 [Source:RGD Symbol;Acc:1309190]
ENSRNOG00000010450	Elovl7	protein_coding	ELOVL fatty acid elongase 7 [Source:RGD Symbol;Acc:1310560]
ENSRNOG00000010454	Ccno	protein_coding	cyclin O [Source:MGI Symbol;Acc:MGI:2145534]
ENSRNOG00000010461	Gpx8	protein_coding	glutathione peroxidase 8 [Source:RGD Symbol;Acc:1307506]
ENSRNOG00000010482	Impa1	protein_coding	inositol monophosphatase 1 [Source:RGD Symbol;Acc:69254]
ENSRNOG00000010515	Trim59	protein_coding	tripartite motif-containing 59 [Source:RGD Symbol;Acc:1311956]
ENSRNOG00000010517	Fam126a	protein_coding	family with sequence similarity 126, member A [Source:RGD Symbol;Acc:1562906]
ENSRNOG00000010529	Thbs2	protein_coding	thrombospondin 2 [Source:RGD Symbol;Acc:1310979]
ENSRNOG00000010533	Arfip1	protein_coding	ADP-ribosylation factor interacting protein 1 [Source:RGD Symbol;Acc:708401]
ENSRNOG00000010534	Ankrd50	protein_coding	ankyrin repeat domain 50 [Source:RGD Symbol;Acc:1311665]
ENSRNOG00000010535	Cdh18	protein_coding	cadherin 18 [Source:RGD Symbol;Acc:1305430]
ENSRNOG00000010552	Lamtor3	protein_coding	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:RGD Symbol;Acc:1307133]
ENSRNOG00000010556	NEWGENE_1309446	protein_coding	inturned planar cell polarity protein [Source:RGD Symbol;Acc:1309446]
ENSRNOG00000010560	Otp	protein_coding	orthopedia homeobox [Source:RGD Symbol;Acc:727945]
ENSRNOG00000010575	Dapp1	protein_coding	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:RGD Symbol;Acc:1310189]
ENSRNOG00000010589	Zfp622	protein_coding	zinc finger protein 622 [Source:RGD Symbol;Acc:1309146]
ENSRNOG00000010603	Gzma	protein_coding	granzyme A [Source:RGD Symbol;Acc:628640]
ENSRNOG00000010624	Ap3b1	protein_coding	adaptor related protein complex 3 subunit beta 1 [Source:RGD Symbol;Acc:1310256]
ENSRNOG00000010628	Sec13	protein_coding	SEC13 homolog, nuclear pore and COPII coat complex component [Source:RGD Symbol;Acc:1359555]
ENSRNOG00000010630	Prcp	protein_coding	prolylcarboxypeptidase [Source:RGD Symbol;Acc:1307842]
ENSRNOG00000010640	Agtr1b	protein_coding	angiotensin II receptor, type 1b [Source:RGD Symbol;Acc:2071]
ENSRNOG00000010649	Ctnnd2	protein_coding	catenin delta 2 [Source:RGD Symbol;Acc:620734]
ENSRNOG00000010655	Mttp	protein_coding	microsomal triglyceride transfer protein [Source:RGD Symbol;Acc:1308388]
ENSRNOG00000010658	Cth	protein_coding	cystathionine gamma-lyase [Source:RGD Symbol;Acc:2443]
ENSRNOG00000010661	Gzmk	protein_coding	granzyme K [Source:RGD Symbol;Acc:68401]
ENSRNOG00000010664	Wdr73	protein_coding	WD repeat domain 73 [Source:RGD Symbol;Acc:1306429]
ENSRNOG00000010680	Med12l	protein_coding	mediator complex subunit 12L [Source:RGD Symbol;Acc:1592212]
ENSRNOG00000010681	Pitx2	protein_coding	paired-like homeodomain 2 [Source:RGD Symbol;Acc:3331]
ENSRNOG00000010695	Pdgfc	protein_coding	platelet derived growth factor C [Source:RGD Symbol;Acc:68410]
ENSRNOG00000010697	Hadh	protein_coding	hydroxyacyl-CoA dehydrogenase [Source:RGD Symbol;Acc:69321]
ENSRNOG00000010698	Car1	protein_coding	carbonic anhydrase 1 [Source:RGD Symbol;Acc:1309780]
ENSRNOG00000010701	Depdc1b	protein_coding	DEP domain containing 1B [Source:RGD Symbol;Acc:1305799]
ENSRNOG00000010741	Tigd4	protein_coding	tigger transposable element derived 4 [Source:RGD Symbol;Acc:1305780]
ENSRNOG00000010747	Dap	protein_coding	death-associated protein [Source:RGD Symbol;Acc:620641]
ENSRNOG00000010752	Tmem41b	protein_coding	transmembrane protein 41B [Source:RGD Symbol;Acc:1310870]
ENSRNOG00000010753	Aig1	protein_coding	androgen-induced 1 [Source:RGD Symbol;Acc:1562920]
ENSRNOG00000010760	E2f5	protein_coding	E2F transcription factor 5 [Source:RGD Symbol;Acc:621357]
ENSRNOG00000010763	Fam181b	protein_coding	family with sequence similarity 181, member B [Source:RGD Symbol;Acc:1564695]
ENSRNOG00000010768	Kpna4	protein_coding	karyopherin subunit alpha 4 [Source:RGD Symbol;Acc:1311483]
ENSRNOG00000010775	Arrdc4	protein_coding	arrestin domain containing 4 [Source:MGI Symbol;Acc:MGI:1913662]
ENSRNOG00000010797	Esm1	protein_coding	endothelial cell-specific molecule 1 [Source:RGD Symbol;Acc:71013]
ENSRNOG00000010799	Noct	protein_coding	nocturnin [Source:RGD Symbol;Acc:1587344]
ENSRNOG00000010803	Gabra5	protein_coding	gamma-aminobutyric acid type A receptor subunit alpha 5 [Source:RGD Symbol;Acc:61859]
ENSRNOG00000010805	Fabp4	protein_coding	fatty acid binding protein 4 [Source:RGD Symbol;Acc:69309]
ENSRNOG00000010815	Elf2	protein_coding	E74 like ETS transcription factor 2 [Source:RGD Symbol;Acc:1310585]
ENSRNOG00000010819	Hspa4l	protein_coding	heat shock protein family A (Hsp70) member 4 like [Source:RGD Symbol;Acc:1306528]
ENSRNOG00000010824	Parp8	protein_coding	poly (ADP-ribose) polymerase family, member 8 [Source:RGD Symbol;Acc:1587384]
ENSRNOG00000010827	Ptbp2	protein_coding	polypyrimidine tract binding protein 2 [Source:RGD Symbol;Acc:1359267]
ENSRNOG00000010840	Adamtsl3	protein_coding	ADAMTS-like 3 [Source:RGD Symbol;Acc:1305155]
ENSRNOG00000010843	Nhlrc3	protein_coding	NHL repeat containing 3 [Source:RGD Symbol;Acc:1565414]
ENSRNOG00000010853	Chrna7	protein_coding	cholinergic receptor nicotinic alpha 7 subunit [Source:RGD Symbol;Acc:2348]
ENSRNOG00000010861	Atad1	protein_coding	ATPase family, AAA domain containing 1 [Source:RGD Symbol;Acc:1308570]
ENSRNOG00000010866	Tmem154	protein_coding	transmembrane protein 154 [Source:RGD Symbol;Acc:1563262]
ENSRNOG00000010875	Fam241a	protein_coding	family with sequence similarity 241 member A [Source:RGD Symbol;Acc:1593351]
ENSRNOG00000010888	Ankrd33b	protein_coding	ankyrin repeat domain 33B [Source:RGD Symbol;Acc:1564227]
ENSRNOG00000010889	Fbxw7	protein_coding	F-box and WD repeat domain containing 7 [Source:RGD Symbol;Acc:2321145]
ENSRNOG00000010891	Lrrcc1	protein_coding	leucine rich repeat and coiled-coil centrosomal protein 1 [Source:RGD Symbol;Acc:628722]
ENSRNOG00000010915	Ermp1	protein_coding	endoplasmic reticulum metallopeptidase 1 [Source:RGD Symbol;Acc:727831]
ENSRNOG00000010938	Slc7a10	protein_coding	solute carrier family 7 member 10 [Source:RGD Symbol;Acc:621672]
ENSRNOG00000010941	Tifa	protein_coding	TRAF-interacting protein with forkhead-associated domain [Source:RGD Symbol;Acc:1359151]
ENSRNOG00000010958	Prdx3	protein_coding	peroxiredoxin 3 [Source:RGD Symbol;Acc:620040]
ENSRNOG00000010959	Klhl25	protein_coding	kelch-like family member 25 [Source:RGD Symbol;Acc:1310815]
ENSRNOG00000010960	Ankh	protein_coding	ANKH inorganic pyrophosphate transport regulator [Source:RGD Symbol;Acc:619925]
ENSRNOG00000010964	Akap13	protein_coding	A-kinase anchoring protein 13 [Source:RGD Symbol;Acc:727893]
ENSRNOG00000010967	Cdc37l1	protein_coding	cell division cycle 37-like 1 [Source:RGD Symbol;Acc:1309295]
ENSRNOG00000010971	Snx18	protein_coding	sorting nexin 18 [Source:RGD Symbol;Acc:1310367]
ENSRNOG00000010972	Neurog2	protein_coding	neurogenin 2 [Source:RGD Symbol;Acc:1309061]
ENSRNOG00000010980	Proser1	protein_coding	proline and serine rich 1 [Source:RGD Symbol;Acc:1309403]
ENSRNOG00000010983	Otog	protein_coding	otogelin [Source:RGD Symbol;Acc:1306610]
ENSRNOG00000010992	Hspb3	protein_coding	heat shock protein family B (small) member 3 [Source:RGD Symbol;Acc:68345]
ENSRNOG00000010994	Has1	protein_coding	hyaluronan synthase 1 [Source:RGD Symbol;Acc:708528]
ENSRNOG00000011001	Olr97	protein_coding	olfactory receptor 97 [Source:RGD Symbol;Acc:1333983]
ENSRNOG00000011006	Stoml3	protein_coding	stomatin (Epb7.2)-like 3 [Source:MGI Symbol;Acc:MGI:2388072]
ENSRNOG00000011011	Nmb	protein_coding	neuromedin B [Source:RGD Symbol;Acc:1562710]
ENSRNOG00000011015	Hivep2	protein_coding	HIVEP zinc finger 2 [Source:RGD Symbol;Acc:61988]
ENSRNOG00000011025	Trmt10a	protein_coding	tRNA methyltransferase 10A [Source:RGD Symbol;Acc:1594565]
ENSRNOG00000011029	Sec11a	protein_coding	SEC11 homolog A, signal peptidase complex subunit [Source:RGD Symbol;Acc:69360]
ENSRNOG00000011032	Lhfpl2	protein_coding	LHFPL tetraspan subfamily member 2 [Source:RGD Symbol;Acc:1309869]
ENSRNOG00000011052	Gars	protein_coding	glycyl-tRNA synthetase [Source:RGD Symbol;Acc:1307856]
ENSRNOG00000011053	Cyp2u1	protein_coding	cytochrome P450, family 2, subfamily u, polypeptide 1 [Source:RGD Symbol;Acc:1309433]
ENSRNOG00000011057	Mfn1	protein_coding	mitofusin 1 [Source:RGD Symbol;Acc:621460]
ENSRNOG00000011058	Utrn	protein_coding	utrophin [Source:RGD Symbol;Acc:3947]
ENSRNOG00000011066	Marchf6	protein_coding	membrane associated ring-CH-type finger 6 [Source:RGD Symbol;Acc:1565757]
ENSRNOG00000011068	Papss2	protein_coding	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:RGD Symbol;Acc:1307012]
ENSRNOG00000011070	Gnb4	protein_coding	G protein subunit beta 4 [Source:RGD Symbol;Acc:1359321]
ENSRNOG00000011076	Ank2	protein_coding	ankyrin 2 [Source:RGD Symbol;Acc:620156]
