gene	rTS_Plac1	e13.5_KO	e18.5_KO	gene	external_gene_name	gene_biotype	description
ENSRNOG00000011238	1	0	0	ENSRNOG00000011238	Tiparp	protein_coding	TCDD-inducible poly(ADP-ribose) polymerase [Source:RGD Symbol;Acc:1306171]
ENSRNOG00000011367	1	0	0	ENSRNOG00000011367	Cyp2r1	protein_coding	cytochrome P450, family 2, subfamily r, polypeptide 1 [Source:RGD Symbol;Acc:1311866]
ENSRNOG00000011411	1	0	0	ENSRNOG00000011411	Adgrg6	protein_coding	adhesion G protein-coupled receptor G6 [Source:RGD Symbol;Acc:1308551]
ENSRNOG00000011588	1	0	0	ENSRNOG00000011588	Rnf146	protein_coding	ring finger protein 146 [Source:RGD Symbol;Acc:1306482]
ENSRNOG00000011659	1	0	1	ENSRNOG00000011659	Alpk3	protein_coding	alpha-kinase 3 [Source:RGD Symbol;Acc:1309860]
ENSRNOG00000011800	1	0	0	ENSRNOG00000011800	F3	protein_coding	coagulation factor III, tissue factor [Source:RGD Symbol;Acc:2587]
ENSRNOG00000011929	1	0	0	ENSRNOG00000011929	Abcd3	protein_coding	ATP binding cassette subfamily D member 3 [Source:RGD Symbol;Acc:2007]
ENSRNOG00000011951	1	0	1	ENSRNOG00000011951	Plk2	protein_coding	polo-like kinase 2 [Source:RGD Symbol;Acc:620760]
ENSRNOG00000011975	1	0	0	ENSRNOG00000011975	Crtc3	protein_coding	CREB regulated transcription coactivator 3 [Source:RGD Symbol;Acc:1309666]
ENSRNOG00000012110	1	0	0	ENSRNOG00000012110	Col17a1	protein_coding	collagen type XVII alpha 1 chain [Source:RGD Symbol;Acc:1311130]
ENSRNOG00000012206	1	0	0	ENSRNOG00000012206	Dennd5a	protein_coding	DENN domain containing 5A [Source:RGD Symbol;Acc:1306759]
ENSRNOG00000012442	1	0	1	ENSRNOG00000012442	Cemip	protein_coding	cell migration inducing hyaluronidase [Source:RGD Symbol;Acc:1305254]
ENSRNOG00000012630	1	0	1	ENSRNOG00000012630	Rhoc	protein_coding	ras homolog family member C [Source:RGD Symbol;Acc:1304965]
ENSRNOG00000012655	1	0	1	ENSRNOG00000012655	Adamts6	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif, 6 [Source:RGD Symbol;Acc:1307678]
ENSRNOG00000012806	1	0	0	ENSRNOG00000012806	Rbbp6	protein_coding	RB binding protein 6, ubiquitin ligase [Source:RGD Symbol;Acc:1311964]
ENSRNOG00000012847	1	0	0	ENSRNOG00000012847	Scgb1c1	protein_coding	secretoglobin, family 1C, member 1 [Source:RGD Symbol;Acc:1561432]
ENSRNOG00000012858	1	0	0	ENSRNOG00000012858	Odf3	protein_coding	outer dense fiber of sperm tails 3 [Source:RGD Symbol;Acc:1310028]
ENSRNOG00000013055	1	0	0	ENSRNOG00000013055	Zfyve16	protein_coding	zinc finger FYVE-type containing 16 [Source:RGD Symbol;Acc:1564784]
ENSRNOG00000013103	1	0	1	ENSRNOG00000013103	Ldhc	protein_coding	lactate dehydrogenase C [Source:RGD Symbol;Acc:69366]
ENSRNOG00000013123	1	1	0	ENSRNOG00000013123	Scube2	protein_coding	signal peptide, CUB domain and EGF like domain containing 2 [Source:RGD Symbol;Acc:1563998]
ENSRNOG00000013140	1	0	0	ENSRNOG00000013140	Pdzd2	protein_coding	PDZ domain containing 2 [Source:RGD Symbol;Acc:619958]
ENSRNOG00000013176	1	0	0	ENSRNOG00000013176	Far1	protein_coding	fatty acyl CoA reductase 1 [Source:RGD Symbol;Acc:1306647]
ENSRNOG00000013240	1	0	1	ENSRNOG00000013240	Ptger4	protein_coding	prostaglandin E receptor 4 [Source:RGD Symbol;Acc:628641]
ENSRNOG00000013294	1	0	0	ENSRNOG00000013294	Sh2d2a	protein_coding	SH2 domain containing 2A [Source:RGD Symbol;Acc:1303076]
ENSRNOG00000013304	1	0	1	ENSRNOG00000013304	Arg1	protein_coding	arginase 1 [Source:RGD Symbol;Acc:2150]
ENSRNOG00000013387	1	0	0	ENSRNOG00000013387	Tpcn2	protein_coding	two pore segment channel 2 [Source:RGD Symbol;Acc:1311779]
ENSRNOG00000013395	1	0	0	ENSRNOG00000013395	Pglyrp1	protein_coding	peptidoglycan recognition protein 1 [Source:RGD Symbol;Acc:621429]
ENSRNOG00000013519	1	0	0	ENSRNOG00000013519	Tll2	protein_coding	tolloid-like 2 [Source:RGD Symbol;Acc:1559756]
ENSRNOG00000013591	1	0	0	ENSRNOG00000013591	Ascl3	protein_coding	achaete-scute family bHLH transcription factor 3 [Source:MGI Symbol;Acc:MGI:1928820]
ENSRNOG00000013737	1	0	0	ENSRNOG00000013737	Bcar3	protein_coding	BCAR3 adaptor protein, NSP family member [Source:RGD Symbol;Acc:1311688]
ENSRNOG00000013975	1	0	0	ENSRNOG00000013975	Acat2l1	protein_coding	acetyl-CoA acetyltransferase 2-like 1 [Source:RGD Symbol;Acc:1562948]
ENSRNOG00000014002	1	0	0	ENSRNOG00000014002	St7l	protein_coding	suppression of tumorigenicity 7-like [Source:RGD Symbol;Acc:1359336]
ENSRNOG00000014061	1	0	0	ENSRNOG00000014061	Dusp5	protein_coding	dual specificity phosphatase 5 [Source:RGD Symbol;Acc:620854]
ENSRNOG00000014183	1	0	0	ENSRNOG00000014183	Gnaq	protein_coding	G protein subunit alpha q [Source:RGD Symbol;Acc:620770]
ENSRNOG00000014278	1	0	0	ENSRNOG00000014278	Zfp710	protein_coding	zinc finger protein 710 [Source:RGD Symbol;Acc:1306491]
ENSRNOG00000014373	1	0	0	ENSRNOG00000014373	Trim66	protein_coding	tripartite motif-containing 66 [Source:RGD Symbol;Acc:1595847]
ENSRNOG00000014471	1	0	0	ENSRNOG00000014471	B3gnt6	protein_coding	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 [Source:RGD Symbol;Acc:1310926]
ENSRNOG00000014479	1	0	0	ENSRNOG00000014479	Cttnbp2nl	protein_coding	CTTNBP2 N-terminal like [Source:RGD Symbol;Acc:1310822]
ENSRNOG00000014485	1	0	0	ENSRNOG00000014485	Pdcd6	protein_coding	programmed cell death 6 [Source:RGD Symbol;Acc:1311239]
ENSRNOG00000014590	1	1	0	ENSRNOG00000014590	Stk33	protein_coding	serine/threonine kinase 33 [Source:RGD Symbol;Acc:1590972]
ENSRNOG00000014686	1	0	0	ENSRNOG00000014686	Kcnd3	protein_coding	potassium voltage-gated channel subfamily D member 3 [Source:RGD Symbol;Acc:68394]
ENSRNOG00000014816	1	0	1	ENSRNOG00000014816	Slc1a1	protein_coding	solute carrier family 1 member 1 [Source:RGD Symbol;Acc:3696]
ENSRNOG00000015024	1	0	1	ENSRNOG00000015024	Mcoln3	protein_coding	mucolipin TRP cation channel 3 [Source:RGD Symbol;Acc:1308420]
ENSRNOG00000015036	1	0	1	ENSRNOG00000015036	Ccn2	protein_coding	cellular communication network factor 2 [Source:RGD Symbol;Acc:621392]
ENSRNOG00000015071	1	0	0	ENSRNOG00000015071	Zim1	protein_coding	zinc finger, imprinted 1 [Source:RGD Symbol;Acc:1310930]
ENSRNOG00000015137	1	0	0	ENSRNOG00000015137	Spata6l	protein_coding	spermatogenesis associated 6-like [Source:RGD Symbol;Acc:1310039]
ENSRNOG00000015152	1	0	0	ENSRNOG00000015152	Pkp3	protein_coding	plakophilin 3 [Source:RGD Symbol;Acc:1309133]
ENSRNOG00000015220	1	0	0	ENSRNOG00000015220	Crtac1	protein_coding	cartilage acidic protein 1 [Source:RGD Symbol;Acc:621085]
ENSRNOG00000015347	1	0	0	ENSRNOG00000015347	Trim45	protein_coding	tripartite motif-containing 45 [Source:RGD Symbol;Acc:1309168]
ENSRNOG00000015413	1	0	0	ENSRNOG00000015413	Qpctl	protein_coding	glutaminyl-peptide cyclotransferase-like [Source:RGD Symbol;Acc:1308128]
ENSRNOG00000015516	1	0	0	ENSRNOG00000015516	Cbwd1	protein_coding	COBW domain containing 1 [Source:RGD Symbol;Acc:708495]
ENSRNOG00000015573	1	0	0	ENSRNOG00000015573	Ctbs	protein_coding	chitobiase [Source:RGD Symbol;Acc:621338]
ENSRNOG00000015622	1	0	1	ENSRNOG00000015622	Fbxo4	protein_coding	F-box protein 4 [Source:RGD Symbol;Acc:1307580]
ENSRNOG00000015670	1	0	0	ENSRNOG00000015670	Stx7	protein_coding	syntaxin 7 [Source:RGD Symbol;Acc:619747]
ENSRNOG00000015678	1	0	0	ENSRNOG00000015678	Spata1	protein_coding	spermatogenesis associated 1 [Source:RGD Symbol;Acc:1359500]
ENSRNOG00000015717	1	0	0	ENSRNOG00000015717	Ptpre	protein_coding	protein tyrosine phosphatase, receptor type, E [Source:RGD Symbol;Acc:620771]
ENSRNOG00000015727	1	0	0	ENSRNOG00000015727	Loxl4	protein_coding	lysyl oxidase-like 4 [Source:RGD Symbol;Acc:1308588]
ENSRNOG00000015807	1	0	0	ENSRNOG00000015807	Pyroxd2	protein_coding	pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:RGD Symbol;Acc:1303232]
ENSRNOG00000015825	1	0	0	ENSRNOG00000015825	Aurkc	protein_coding	aurora kinase C [Source:RGD Symbol;Acc:1309573]
ENSRNOG00000015830	1	0	0	ENSRNOG00000015830	Ano9	protein_coding	anoctamin 9 [Source:RGD Symbol;Acc:1560565]
ENSRNOG00000015865	1	0	0	ENSRNOG00000015865	Ap2s1	protein_coding	adaptor related protein complex 2 subunit sigma 1 [Source:RGD Symbol;Acc:620188]
ENSRNOG00000015932	1	0	0	ENSRNOG00000015932	Plgrkt	protein_coding	plasminogen receptor with a C-terminal lysine [Source:RGD Symbol;Acc:1306839]
ENSRNOG00000015956	1	0	0	ENSRNOG00000015956	Usp29	protein_coding	ubiquitin specific peptidase 29 [Source:RGD Symbol;Acc:1306648]
ENSRNOG00000016038	1	0	1	ENSRNOG00000016038	Mgmt	protein_coding	O-6-methylguanine-DNA methyltransferase [Source:RGD Symbol;Acc:3087]
ENSRNOG00000016041	1	0	0	ENSRNOG00000016041	Zc3h12d	protein_coding	zinc finger CCCH type containing 12D [Source:RGD Symbol;Acc:1597152]
ENSRNOG00000016044	1	0	0	ENSRNOG00000016044	Mab21l3	protein_coding	mab-21 like 3 [Source:RGD Symbol;Acc:1308694]
ENSRNOG00000016054	1	0	0	ENSRNOG00000016054	Tab2	protein_coding	TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:RGD Symbol;Acc:1309527]
ENSRNOG00000016112	1	0	0	ENSRNOG00000016112	Cd274	protein_coding	CD274 molecule [Source:RGD Symbol;Acc:1566211]
ENSRNOG00000016117	1	0	0	ENSRNOG00000016117	Myof	protein_coding	myoferlin [Source:RGD Symbol;Acc:1564216]
ENSRNOG00000016219	1	0	0	ENSRNOG00000016219	Vnn1	protein_coding	vanin 1 [Source:RGD Symbol;Acc:1310075]
ENSRNOG00000016280	1	0	1	ENSRNOG00000016280	Btrc	protein_coding	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:RGD Symbol;Acc:1359721]
ENSRNOG00000016362	1	0	1	ENSRNOG00000016362	Gpr4	protein_coding	G protein-coupled receptor 4 [Source:RGD Symbol;Acc:1311604]
ENSRNOG00000016416	1	0	0	ENSRNOG00000016416	Rnh1	protein_coding	ribonuclease/angiogenin inhibitor 1 [Source:RGD Symbol;Acc:621398]
ENSRNOG00000016541	1	0	0	ENSRNOG00000016541	Enc1	protein_coding	ectodermal-neural cortex 1 [Source:RGD Symbol;Acc:1303152]
ENSRNOG00000016697	1	0	0	ENSRNOG00000016697	Lrrc56	protein_coding	leucine rich repeat containing 56 [Source:RGD Symbol;Acc:1311654]
ENSRNOG00000016748	1	0	0	ENSRNOG00000016748	Poll	protein_coding	DNA polymerase lambda [Source:RGD Symbol;Acc:1308053]
ENSRNOG00000016829	1	0	0	ENSRNOG00000016829	Isoc2b	protein_coding	isochorismatase domain containing 2b [Source:RGD Symbol;Acc:1309062]
ENSRNOG00000017021	1	0	0	ENSRNOG00000017021	Galnt18	protein_coding	polypeptide N-acetylgalactosaminyltransferase 18 [Source:RGD Symbol;Acc:1309623]
ENSRNOG00000017077	1	0	0	ENSRNOG00000017077	Snx7	protein_coding	sorting nexin 7 [Source:RGD Symbol;Acc:1305480]
ENSRNOG00000017164	1	0	0	ENSRNOG00000017164	Afap1l2	protein_coding	actin filament associated protein 1-like 2 [Source:RGD Symbol;Acc:1310668]
ENSRNOG00000017241	1	0	0	ENSRNOG00000017241	Dpcd	protein_coding	deleted in primary ciliary dyskinesia [Source:RGD Symbol;Acc:1307648]
ENSRNOG00000017330	1	1	1	ENSRNOG00000017330	AC103221.1	protein_coding	
ENSRNOG00000017349	1	0	0	ENSRNOG00000017349	Tbc1d10b	protein_coding	TBC1 domain family, member 10b [Source:RGD Symbol;Acc:1309191]
ENSRNOG00000017420	1	0	0	ENSRNOG00000017420	Nudt6	protein_coding	nudix hydrolase 6 [Source:RGD Symbol;Acc:621356]
ENSRNOG00000017427	1	0	1	ENSRNOG00000017427	Pfn2	protein_coding	profilin 2 [Source:RGD Symbol;Acc:621826]
ENSRNOG00000017469	1	0	1	ENSRNOG00000017469	Anxa1	protein_coding	annexin A1 [Source:RGD Symbol;Acc:2118]
ENSRNOG00000017516	1	0	0	ENSRNOG00000017516	Bcl9	protein_coding	BCL9, transcription coactivator [Source:RGD Symbol;Acc:1306934]
ENSRNOG00000017519	1	1	0	ENSRNOG00000017519		protein_coding	carcinoembryonic antigen-related cell adhesion molecule 5-like [Source:RGD Symbol;Acc:7607030]
ENSRNOG00000017581	1	0	0	ENSRNOG00000017581	RGD1306227	protein_coding	similar to 4833420G17Rik protein [Source:RGD Symbol;Acc:1306227]
ENSRNOG00000017645	1	0	0	ENSRNOG00000017645	Mylpf	protein_coding	myosin light chain, phosphorylatable, fast skeletal muscle [Source:RGD Symbol;Acc:3141]
ENSRNOG00000017680	1	0	0	ENSRNOG00000017680	Dennd2d	protein_coding	DENN domain containing 2D [Source:RGD Symbol;Acc:1305120]
ENSRNOG00000017762	1	0	1	ENSRNOG00000017762	Cdhr5	protein_coding	cadherin-related family member 5 [Source:RGD Symbol;Acc:620504]
ENSRNOG00000017767	1	0	0	ENSRNOG00000017767	Irag1	protein_coding	inositol 1,4,5-triphosphate receptor associated 1 [Source:RGD Symbol;Acc:1309828]
ENSRNOG00000017810	1	0	0	ENSRNOG00000017810	Uros	protein_coding	uroporphyrinogen III synthase [Source:RGD Symbol;Acc:1310396]
ENSRNOG00000017963	1	0	0	ENSRNOG00000017963	Zfp875	protein_coding	zinc finger protein 875 [Source:RGD Symbol;Acc:15003460]
ENSRNOG00000017977	1	0	0	ENSRNOG00000017977	Smpd1	protein_coding	sphingomyelin phosphodiesterase 1 [Source:RGD Symbol;Acc:1549719]
ENSRNOG00000017980	1	0	0	ENSRNOG00000017980	Itgal	protein_coding	integrin subunit alpha L [Source:RGD Symbol;Acc:631424]
ENSRNOG00000018018	1	0	0	ENSRNOG00000018018	Kcnip2	protein_coding	potassium voltage-gated channel interacting protein 2 [Source:RGD Symbol;Acc:70887]
ENSRNOG00000018048	1	0	0	ENSRNOG00000018048	Dctn5	protein_coding	dynactin subunit 5 [Source:RGD Symbol;Acc:1305654]
ENSRNOG00000018106	1	0	0	ENSRNOG00000018106	Neu3	protein_coding	neuraminidase 3 [Source:RGD Symbol;Acc:619881]
ENSRNOG00000018119	1	0	0	ENSRNOG00000018119	Dhx32	protein_coding	DEAH-box helicase 32 (putative) [Source:RGD Symbol;Acc:1311740]
ENSRNOG00000018163	1	0	0	ENSRNOG00000018163	Ipcef1	protein_coding	interaction protein for cytohesin exchange factors 1 [Source:RGD Symbol;Acc:735159]
ENSRNOG00000018166	1	0	0	ENSRNOG00000018166	Prkab2	protein_coding	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:RGD Symbol;Acc:620905]
ENSRNOG00000018454	1	0	1	ENSRNOG00000018454	Apoe	protein_coding	apolipoprotein E [Source:RGD Symbol;Acc:2138]
ENSRNOG00000018515	1	0	0	ENSRNOG00000018515	Det1	protein_coding	DET1 partner of COP1 E3 ubiquitin ligase [Source:RGD Symbol;Acc:1309793]
ENSRNOG00000018518	1	0	0	ENSRNOG00000018518	AABR07005779.1	protein_coding	proline rich 14 [Source:RGD Symbol;Acc:1594592]
ENSRNOG00000018627	1	0	0	ENSRNOG00000018627	Plekhb1	protein_coding	pleckstrin homology domain containing B1 [Source:RGD Symbol;Acc:621614]
ENSRNOG00000018690	1	1	0	ENSRNOG00000018690	Rgs17	protein_coding	regulator of G-protein signaling 17 [Source:RGD Symbol;Acc:1305515]
ENSRNOG00000018746	1	0	0	ENSRNOG00000018746	Slc30a5	protein_coding	solute carrier family 30 member 5 [Source:RGD Symbol;Acc:1306931]
ENSRNOG00000018916	1	0	0	ENSRNOG00000018916	Bcl7c	protein_coding	BAF chromatin remodeling complex subunit BCL7C [Source:RGD Symbol;Acc:1308439]
ENSRNOG00000018962	1	0	0	ENSRNOG00000018962	Ctf1	protein_coding	cardiotrophin 1 [Source:RGD Symbol;Acc:2442]
ENSRNOG00000019005	1	0	0	ENSRNOG00000019005	Pde8a	protein_coding	phosphodiesterase 8A [Source:RGD Symbol;Acc:735125]
ENSRNOG00000019138	1	0	0	ENSRNOG00000019138	Clec11a	protein_coding	C-type lectin domain containing 11A [Source:RGD Symbol;Acc:3627]
ENSRNOG00000019170	1	0	0	ENSRNOG00000019170	Il27	protein_coding	interleukin 27 [Source:RGD Symbol;Acc:1561420]
ENSRNOG00000019193	1	0	0	ENSRNOG00000019193	Stx1b	protein_coding	syntaxin 1B [Source:RGD Symbol;Acc:3784]
ENSRNOG00000019221	1	0	0	ENSRNOG00000019221	Gstm4	protein_coding	glutathione S-transferase mu 4 [Source:RGD Symbol;Acc:1565825]
ENSRNOG00000019296	1	0	1	ENSRNOG00000019296	Gnat2	protein_coding	G protein subunit alpha transducin 2 [Source:RGD Symbol;Acc:1309514]
ENSRNOG00000019441	1	0	1	ENSRNOG00000019441	Hsd3b2	protein_coding	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:RGD Symbol;Acc:67377]
ENSRNOG00000019465	1	0	0	ENSRNOG00000019465	Gnai3	protein_coding	G protein subunit alpha i3 [Source:RGD Symbol;Acc:2714]
ENSRNOG00000019674	1	0	0	ENSRNOG00000019674	Mfsd13a	protein_coding	major facilitator superfamily domain containing 13A [Source:RGD Symbol;Acc:1309313]
ENSRNOG00000019738	1	0	0	ENSRNOG00000019738	Gpr61	protein_coding	G protein-coupled receptor 61 [Source:RGD Symbol;Acc:1310176]
ENSRNOG00000019745	1	0	0	ENSRNOG00000019745	Actn3	protein_coding	actinin alpha 3 [Source:RGD Symbol;Acc:621792]
ENSRNOG00000019771	1	0	0	ENSRNOG00000019771	Tbx6	protein_coding	T-box transcription factor 6 [Source:RGD Symbol;Acc:1307716]
ENSRNOG00000019838	1	0	0	ENSRNOG00000019838	Gmfg	protein_coding	glia maturation factor, gamma [Source:RGD Symbol;Acc:620506]
ENSRNOG00000019950	1	0	0	ENSRNOG00000019950	Peli3	protein_coding	pellino E3 ubiquitin protein ligase family member 3 [Source:RGD Symbol;Acc:1305989]
ENSRNOG00000019982	1	0	0	ENSRNOG00000019982	Ethe1	protein_coding	ETHE1, persulfide dioxygenase [Source:RGD Symbol;Acc:1311034]
ENSRNOG00000020014	1	0	0	ENSRNOG00000020014	Myh14	protein_coding	myosin heavy chain 14 [Source:RGD Symbol;Acc:1306821]
ENSRNOG00000020076	1	0	0	ENSRNOG00000020076	Borcs7	protein_coding	BLOC-1 related complex subunit 7 [Source:RGD Symbol;Acc:1311783]
ENSRNOG00000020124	1	0	0	ENSRNOG00000020124	Lrrc51	protein_coding	leucine rich repeat containing 51 [Source:RGD Symbol;Acc:1565856]
ENSRNOG00000020150	1	0	0	ENSRNOG00000020150	Il18bp	protein_coding	interleukin 18 binding protein [Source:RGD Symbol;Acc:620042]
ENSRNOG00000020196	1	0	1	ENSRNOG00000020196	Scgb1a1	protein_coding	secretoglobin family 1A member 1 [Source:RGD Symbol;Acc:3934]
ENSRNOG00000020251	1	0	0	ENSRNOG00000020251	Art1	protein_coding	ADP-ribosyltransferase 1 [Source:RGD Symbol;Acc:1304591]
ENSRNOG00000020272	1	0	0	ENSRNOG00000020272	Elapor1	protein_coding	endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:MGI Symbol;Acc:MGI:1923930]
ENSRNOG00000020279	1	0	1	ENSRNOG00000020279	Syt11	protein_coding	synaptotagmin 11 [Source:RGD Symbol;Acc:62042]
ENSRNOG00000020330	1	0	0	ENSRNOG00000020330	Wdr47	protein_coding	WD repeat domain 47 [Source:RGD Symbol;Acc:1309181]
ENSRNOG00000020420	1	0	0	ENSRNOG00000020420	Pklr	protein_coding	pyruvate kinase L/R [Source:RGD Symbol;Acc:3336]
ENSRNOG00000020443	1	0	0	ENSRNOG00000020443	Tsks	protein_coding	testis-specific serine kinase substrate [Source:RGD Symbol;Acc:727784]
ENSRNOG00000020444	1	0	0	ENSRNOG00000020444	Hcn3	protein_coding	hyperpolarization-activated cyclic nucleotide-gated potassium channel 3 [Source:RGD Symbol;Acc:620691]
ENSRNOG00000020456	1	0	1	ENSRNOG00000020456	Nucb2	protein_coding	nucleobindin 2 [Source:RGD Symbol;Acc:620888]
ENSRNOG00000020470	1	0	0	ENSRNOG00000020470	Slc25a24	protein_coding	solute carrier family 25 member 24 [Source:RGD Symbol;Acc:1311982]
ENSRNOG00000020479	1	0	0	ENSRNOG00000020479	Pik3c2a	protein_coding	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:RGD Symbol;Acc:1310389]
ENSRNOG00000020485	1	0	0	ENSRNOG00000020485	Vav3	protein_coding	vav guanine nucleotide exchange factor 3 [Source:RGD Symbol;Acc:1565941]
ENSRNOG00000020486	1	0	0	ENSRNOG00000020486	Bcl2l12	protein_coding	BCL2 like 12 [Source:RGD Symbol;Acc:1307361]
ENSRNOG00000020598	1	0	0	ENSRNOG00000020598	Kcnk6	protein_coding	potassium two pore domain channel subfamily K member 6 [Source:RGD Symbol;Acc:621450]
ENSRNOG00000020617	1	0	0	ENSRNOG00000020617	Mus81	protein_coding	MUS81 structure-specific endonuclease subunit [Source:RGD Symbol;Acc:1311957]
ENSRNOG00000020620	1	0	0	ENSRNOG00000020620	Ppp1r32	protein_coding	protein phosphatase 1, regulatory subunit 32 [Source:RGD Symbol;Acc:708532]
ENSRNOG00000020686	1	1	0	ENSRNOG00000020686	Dkkl1	protein_coding	dickkopf like acrosomal protein 1 [Source:RGD Symbol;Acc:1563523]
ENSRNOG00000020702	1	0	0	ENSRNOG00000020702	Cyb561a3	protein_coding	cytochrome b561 family, member A3 [Source:RGD Symbol;Acc:1304670]
ENSRNOG00000020704	1	0	0	ENSRNOG00000020704	Tkfc	protein_coding	triokinase and FMN cyclase [Source:RGD Symbol;Acc:1311026]
ENSRNOG00000020713	1	0	1	ENSRNOG00000020713	Osbpl5	protein_coding	oxysterol binding protein-like 5 [Source:RGD Symbol;Acc:1308402]
ENSRNOG00000020714	1	0	0	ENSRNOG00000020714	Trpm4	protein_coding	transient receptor potential cation channel, subfamily M, member 4 [Source:RGD Symbol;Acc:620244]
ENSRNOG00000020719	1	0	0	ENSRNOG00000020719	Hrc	protein_coding	histidine rich calcium binding protein [Source:RGD Symbol;Acc:727864]
ENSRNOG00000020736	1	0	0	ENSRNOG00000020736	Nadsyn1	protein_coding	NAD synthetase 1 [Source:RGD Symbol;Acc:727801]
ENSRNOG00000020777	1	0	0	ENSRNOG00000020777	Zfp382	protein_coding	zinc finger protein 382 [Source:RGD Symbol;Acc:708385]
ENSRNOG00000020778	1	0	0	ENSRNOG00000020778	Chrnb2	protein_coding	cholinergic receptor nicotinic beta 2 subunit [Source:RGD Symbol;Acc:2350]
ENSRNOG00000020797	1	0	0	ENSRNOG00000020797	She	protein_coding	Src homology 2 domain containing E [Source:RGD Symbol;Acc:1583215]
ENSRNOG00000020811	1	0	1	ENSRNOG00000020811	Il6r	protein_coding	interleukin 6 receptor [Source:RGD Symbol;Acc:2902]
ENSRNOG00000020883	1	0	1	ENSRNOG00000020883	Dhdh	protein_coding	dihydrodiol dehydrogenase [Source:RGD Symbol;Acc:1588686]
ENSRNOG00000020903	1	0	0	ENSRNOG00000020903	Lto1	protein_coding	LTO1 maturation factor of ABCE1 [Source:RGD Symbol;Acc:1304637]
