gene	BeWo.KD	Plac1.CT27	Plac1.CT29	gene	gene_biotype	external_gene_name	description
ENSG00000131370	1	0	0	ENSG00000131370	protein_coding	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]
ENSG00000131791	1	0	0	ENSG00000131791	protein_coding	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]
ENSG00000132329	1	0	0	ENSG00000132329	protein_coding	RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]
ENSG00000132855	1	0	0	ENSG00000132855	protein_coding	ANGPTL3	angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]
ENSG00000132879	1	0	0	ENSG00000132879	protein_coding	FBXO44	F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]
ENSG00000133069	1	0	0	ENSG00000133069	protein_coding	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]
ENSG00000134107	1	0	0	ENSG00000134107	protein_coding	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]
ENSG00000134109	1	0	0	ENSG00000134109	protein_coding	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]
ENSG00000134193	1	0	0	ENSG00000134193	protein_coding	REG4	regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977]
ENSG00000134240	1	0	0	ENSG00000134240	protein_coding	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]
ENSG00000134258	1	0	0	ENSG00000134258	protein_coding	VTCN1	V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
ENSG00000134317	1	0	0	ENSG00000134317	protein_coding	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]
ENSG00000134668	1	0	0	ENSG00000134668	protein_coding	SPOCD1	SPOC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26338]
ENSG00000135625	1	0	0	ENSG00000135625	protein_coding	EGR4	early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]
ENSG00000135744	1	0	0	ENSG00000135744	protein_coding	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]
ENSG00000135766	1	0	0	ENSG00000135766	protein_coding	EGLN1	egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]
ENSG00000135976	1	0	0	ENSG00000135976	protein_coding	ANKRD36	ankyrin repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:24079]
ENSG00000136689	1	0	0	ENSG00000136689	protein_coding	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]
ENSG00000142609	1	0	0	ENSG00000142609	protein_coding	CFAP74	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]
ENSG00000142623	1	1	0	ENSG00000142623	protein_coding	PADI1	peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]
ENSG00000142669	1	0	0	ENSG00000142669	protein_coding	SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]
ENSG00000142910	1	0	0	ENSG00000142910	protein_coding	TINAGL1	tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]
ENSG00000142961	1	0	0	ENSG00000142961	protein_coding	MOB3C	MOB kinase activator 3C [Source:HGNC Symbol;Acc:HGNC:29800]
ENSG00000142973	1	0	0	ENSG00000142973	protein_coding	CYP4B1	cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]
ENSG00000143119	1	0	0	ENSG00000143119	protein_coding	CD53	CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]
ENSG00000143178	1	0	0	ENSG00000143178	protein_coding	TBX19	T-box transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11596]
ENSG00000143184	1	0	0	ENSG00000143184	protein_coding	XCL1	X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]
ENSG00000143217	1	0	0	ENSG00000143217	protein_coding	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]
ENSG00000143434	1	0	0	ENSG00000143434	protein_coding	SEMA6C	semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]
ENSG00000143590	1	0	0	ENSG00000143590	protein_coding	EFNA3	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]
ENSG00000143847	1	0	0	ENSG00000143847	protein_coding	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]
ENSG00000143850	1	0	0	ENSG00000143850	protein_coding	PLEKHA6	pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053]
ENSG00000143862	1	0	0	ENSG00000143862	protein_coding	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]
ENSG00000144115	1	0	0	ENSG00000144115	protein_coding	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]
ENSG00000144407	1	0	0	ENSG00000144407	protein_coding	PTH2R	parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]
ENSG00000144452	1	0	0	ENSG00000144452	protein_coding	ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]
ENSG00000144488	1	0	0	ENSG00000144488	protein_coding	ESPNL	espin like [Source:HGNC Symbol;Acc:HGNC:27937]
ENSG00000144649	1	0	0	ENSG00000144649	protein_coding	GASK1A	golgi associated kinase 1A [Source:HGNC Symbol;Acc:HGNC:24485]
ENSG00000150873	1	0	0	ENSG00000150873	protein_coding	C2orf50	chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324]
ENSG00000152256	1	0	1	ENSG00000152256	protein_coding	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]
ENSG00000152527	1	0	0	ENSG00000152527	protein_coding	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2 [Source:HGNC Symbol;Acc:HGNC:30506]
ENSG00000152689	1	0	0	ENSG00000152689	protein_coding	RASGRP3	RAS guanyl releasing protein 3 [Source:HGNC Symbol;Acc:HGNC:14545]
ENSG00000153234	1	0	0	ENSG00000153234	protein_coding	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]
ENSG00000153563	1	0	0	ENSG00000153563	protein_coding	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]
ENSG00000154429	1	0	0	ENSG00000154429	protein_coding	CCSAP	centriole, cilia and spindle associated protein [Source:HGNC Symbol;Acc:HGNC:29578]
ENSG00000154783	1	0	0	ENSG00000154783	protein_coding	FGD5	FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]
ENSG00000157064	1	1	1	ENSG00000157064	protein_coding	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]
ENSG00000157985	1	0	0	ENSG00000157985	protein_coding	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]
ENSG00000158008	1	0	0	ENSG00000158008	protein_coding	EXTL1	exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]
ENSG00000158315	1	0	0	ENSG00000158315	protein_coding	RHBDL2	rhomboid like 2 [Source:HGNC Symbol;Acc:HGNC:16083]
ENSG00000158786	1	0	0	ENSG00000158786	protein_coding	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]
ENSG00000158825	1	1	0	ENSG00000158825	protein_coding	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]
ENSG00000158859	1	0	0	ENSG00000158859	protein_coding	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]
ENSG00000159208	1	0	0	ENSG00000159208	protein_coding	CIART	circadian associated repressor of transcription [Source:HGNC Symbol;Acc:HGNC:25200]
ENSG00000159399	1	0	0	ENSG00000159399	protein_coding	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]
ENSG00000162390	1	0	0	ENSG00000162390	protein_coding	ACOT11	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]
ENSG00000162426	1	0	0	ENSG00000162426	protein_coding	SLC45A1	solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]
ENSG00000162433	1	0	0	ENSG00000162433	protein_coding	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]
ENSG00000162496	1	0	0	ENSG00000162496	protein_coding	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]
ENSG00000162522	1	0	0	ENSG00000162522	protein_coding	KIAA1522	KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301]
ENSG00000162620	1	0	0	ENSG00000162620	protein_coding	LRRIQ3	leucine rich repeats and IQ motif containing 3 [Source:HGNC Symbol;Acc:HGNC:28318]
ENSG00000162624	1	0	0	ENSG00000162624	protein_coding	LHX8	LIM homeobox 8 [Source:HGNC Symbol;Acc:HGNC:28838]
ENSG00000162641	1	0	0	ENSG00000162641	protein_coding	AKNAD1	AKNA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28398]
ENSG00000162645	1	1	1	ENSG00000162645	protein_coding	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]
ENSG00000162753	1	0	0	ENSG00000162753	protein_coding	SLC9C2	solute carrier family 9 member C2 (putative) [Source:HGNC Symbol;Acc:HGNC:28664]
ENSG00000162772	1	0	0	ENSG00000162772	protein_coding	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]
ENSG00000162777	1	0	0	ENSG00000162777	protein_coding	DENND2D	DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]
ENSG00000162849	1	0	0	ENSG00000162849	protein_coding	KIF26B	kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]
ENSG00000162949	1	0	0	ENSG00000162949	protein_coding	CAPN13	calpain 13 [Source:HGNC Symbol;Acc:HGNC:16663]
ENSG00000162981	1	0	0	ENSG00000162981	protein_coding	LRATD1	LRAT domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20743]
ENSG00000163013	1	0	0	ENSG00000163013	protein_coding	FBXO41	F-box protein 41 [Source:HGNC Symbol;Acc:HGNC:29409]
ENSG00000163131	1	0	0	ENSG00000163131	protein_coding	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]
ENSG00000163162	1	0	0	ENSG00000163162	protein_coding	RNF149	ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]
ENSG00000163219	1	0	0	ENSG00000163219	protein_coding	ARHGAP25	Rho GTPase activating protein 25 [Source:HGNC Symbol;Acc:HGNC:28951]
ENSG00000163286	1	0	0	ENSG00000163286	protein_coding	ALPG	alkaline phosphatase, germ cell [Source:HGNC Symbol;Acc:HGNC:441]
ENSG00000163328	1	0	0	ENSG00000163328	protein_coding	GPR155	G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951]
ENSG00000163346	1	0	0	ENSG00000163346	protein_coding	PBXIP1	PBX homeobox interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21199]
ENSG00000163359	1	0	0	ENSG00000163359	protein_coding	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]
ENSG00000163393	1	0	0	ENSG00000163393	protein_coding	SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]
ENSG00000163435	1	0	0	ENSG00000163435	protein_coding	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]
ENSG00000163492	1	0	0	ENSG00000163492	protein_coding	CCDC141	coiled-coil domain containing 141 [Source:HGNC Symbol;Acc:HGNC:26821]
ENSG00000163513	1	0	0	ENSG00000163513	protein_coding	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]
ENSG00000163516	1	0	0	ENSG00000163516	protein_coding	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]
ENSG00000163531	1	0	0	ENSG00000163531	protein_coding	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]
ENSG00000163617	1	0	0	ENSG00000163617	protein_coding	CCDC191	coiled-coil domain containing 191 [Source:HGNC Symbol;Acc:HGNC:29272]
ENSG00000163666	1	0	0	ENSG00000163666	protein_coding	HESX1	HESX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4877]
ENSG00000163686	1	0	0	ENSG00000163686	protein_coding	ABHD6	abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]
ENSG00000163687	1	0	0	ENSG00000163687	protein_coding	DNASE1L3	deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]
ENSG00000163702	1	0	0	ENSG00000163702	protein_coding	IL17RC	interleukin 17 receptor C [Source:HGNC Symbol;Acc:HGNC:18358]
ENSG00000163703	1	0	0	ENSG00000163703	protein_coding	CRELD1	cysteine rich with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:14630]
ENSG00000163794	1	0	0	ENSG00000163794	protein_coding	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]
ENSG00000163823	1	0	1	ENSG00000163823	protein_coding	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]
ENSG00000163879	1	0	0	ENSG00000163879	protein_coding	DNALI1	dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]
ENSG00000164007	1	0	0	ENSG00000164007	protein_coding	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]
ENSG00000168016	1	0	0	ENSG00000168016	protein_coding	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]
ENSG00000168148	1	0	0	ENSG00000168148	protein_coding	H3-4	H3.4 histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4778]
ENSG00000168509	1	0	0	ENSG00000168509	protein_coding	HJV	hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887]
ENSG00000169231	1	0	0	ENSG00000169231	protein_coding	THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]
ENSG00000169403	1	0	0	ENSG00000169403	protein_coding	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]
ENSG00000169991	1	0	0	ENSG00000169991	protein_coding	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]
ENSG00000170017	1	0	0	ENSG00000170017	protein_coding	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]
ENSG00000170075	1	0	0	ENSG00000170075	protein_coding	GPR37L1	G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]
ENSG00000170634	1	0	0	ENSG00000170634	protein_coding	ACYP2	acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]
ENSG00000171357	1	0	0	ENSG00000171357	protein_coding	LURAP1	leucine rich adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:32327]
ENSG00000171551	1	0	0	ENSG00000171551	protein_coding	ECEL1	endothelin converting enzyme like 1 [Source:HGNC Symbol;Acc:HGNC:3147]
ENSG00000172456	1	0	0	ENSG00000172456	protein_coding	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]
ENSG00000172482	1	0	0	ENSG00000172482	protein_coding	AGXT	alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]
ENSG00000172985	1	0	0	ENSG00000172985	protein_coding	SH3RF3	SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699]
ENSG00000173110	1	0	0	ENSG00000173110	protein_coding	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]
ENSG00000173531	1	0	0	ENSG00000173531	protein_coding	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]
ENSG00000173706	1	0	0	ENSG00000173706	protein_coding	HEG1	heart development protein with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:29227]
ENSG00000173947	1	0	0	ENSG00000173947	protein_coding	PIFO	primary cilia formation [Source:HGNC Symbol;Acc:HGNC:27009]
ENSG00000174738	1	0	0	ENSG00000174738	protein_coding	NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]
ENSG00000175084	1	0	0	ENSG00000175084	protein_coding	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]
