gene	rTS_SCR	e13.5_WT	e18.5_WT	gene	external_gene_name	gene_biotype	description
ENSRNOG00000011032	1	0	0	ENSRNOG00000011032	Lhfpl2	protein_coding	LHFPL tetraspan subfamily member 2 [Source:RGD Symbol;Acc:1309869]
ENSRNOG00000011076	1	0	0	ENSRNOG00000011076	Ank2	protein_coding	ankyrin 2 [Source:RGD Symbol;Acc:620156]
ENSRNOG00000011151	1	0	0	ENSRNOG00000011151	Tenm4	protein_coding	teneurin transmembrane protein 4 [Source:RGD Symbol;Acc:1304658]
ENSRNOG00000011213	1	0	0	ENSRNOG00000011213	Blm	protein_coding	BLM RecQ like helicase [Source:RGD Symbol;Acc:1308810]
ENSRNOG00000011239	1	0	0	ENSRNOG00000011239	RGD1307595	protein_coding	similar to RIKEN cDNA 1700018B24 [Source:RGD Symbol;Acc:1307595]
ENSRNOG00000011287	1	0	0	ENSRNOG00000011287	Minpp1	protein_coding	multiple inositol-polyphosphate phosphatase 1 [Source:RGD Symbol;Acc:3089]
ENSRNOG00000011346	1	0	0	ENSRNOG00000011346	Ehd2	protein_coding	EH-domain containing 2 [Source:RGD Symbol;Acc:1560856]
ENSRNOG00000011417	1	0	0	ENSRNOG00000011417	Pde3b	protein_coding	phosphodiesterase 3B [Source:RGD Symbol;Acc:61943]
ENSRNOG00000011439	1	0	0	ENSRNOG00000011439	Grk5	protein_coding	G protein-coupled receptor kinase 5 [Source:RGD Symbol;Acc:61985]
ENSRNOG00000011451	1	0	0	ENSRNOG00000011451	Lrp3	protein_coding	LDL receptor related protein 3 [Source:RGD Symbol;Acc:619729]
ENSRNOG00000011555	1	0	0	ENSRNOG00000011555	Lrrc40	protein_coding	leucine rich repeat containing 40 [Source:RGD Symbol;Acc:1562017]
ENSRNOG00000011559	1	0	0	ENSRNOG00000011559	Cnn3	protein_coding	calponin 3 [Source:RGD Symbol;Acc:71044]
ENSRNOG00000011599	1	1	1	ENSRNOG00000011599	Gldc	protein_coding	glycine decarboxylase [Source:RGD Symbol;Acc:1308660]
ENSRNOG00000011654	1	0	1	ENSRNOG00000011654	Plk4	protein_coding	polo-like kinase 4 [Source:RGD Symbol;Acc:1305390]
ENSRNOG00000011859	1	0	0	ENSRNOG00000011859	Eif5a2	protein_coding	eukaryotic translation initiation factor 5A2 [Source:RGD Symbol;Acc:1306196]
ENSRNOG00000011893	1	0	1	ENSRNOG00000011893	Rps3a	protein_coding	ribosomal protein S3a [Source:RGD Symbol;Acc:62078]
ENSRNOG00000011931	1	0	0	ENSRNOG00000011931	Smarca2	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:RGD Symbol;Acc:1302988]
ENSRNOG00000011949	1	0	0	ENSRNOG00000011949	Ndufb5	protein_coding	NADH:ubiquinone oxidoreductase subunit B5 [Source:RGD Symbol;Acc:1305909]
ENSRNOG00000012149	1	0	0	ENSRNOG00000012149	Gpsm2	protein_coding	G-protein signaling modulator 2 [Source:RGD Symbol;Acc:1560967]
ENSRNOG00000012478	1	0	0	ENSRNOG00000012478	Shox2	protein_coding	short stature homeobox 2 [Source:RGD Symbol;Acc:3674]
ENSRNOG00000012512	1	0	0	ENSRNOG00000012512	Nexn	protein_coding	nexilin (F actin binding protein) [Source:RGD Symbol;Acc:708354]
ENSRNOG00000012549	1	0	0	ENSRNOG00000012549	Hs2st1	protein_coding	heparan sulfate 2-O-sulfotransferase 1 [Source:RGD Symbol;Acc:1305366]
ENSRNOG00000012683	1	0	1	ENSRNOG00000012683	Abhd17c	protein_coding	abhydrolase domain containing 17C, depalmitoylase [Source:RGD Symbol;Acc:1308210]
ENSRNOG00000012698	1	0	0	ENSRNOG00000012698	Chsy1	protein_coding	chondroitin sulfate synthase 1 [Source:RGD Symbol;Acc:1311904]
ENSRNOG00000012720	1	0	0	ENSRNOG00000012720	Irx4	protein_coding	iroquois homeobox 4 [Source:RGD Symbol;Acc:1309309]
ENSRNOG00000012736	1	1	0	ENSRNOG00000012736	Znrd2	protein_coding	zinc ribbon domain containing 2 [Source:RGD Symbol;Acc:1593467]
ENSRNOG00000012742	1	0	0	ENSRNOG00000012742	Irx2	protein_coding	iroquois homeobox 2 [Source:RGD Symbol;Acc:1309834]
ENSRNOG00000012819	1	0	0	ENSRNOG00000012819	Gdnf	protein_coding	glial cell derived neurotrophic factor [Source:RGD Symbol;Acc:2677]
ENSRNOG00000012820	1	0	0	ENSRNOG00000012820	Add3	protein_coding	adducin 3 [Source:RGD Symbol;Acc:2043]
ENSRNOG00000012827	1	0	0	ENSRNOG00000012827	Mlf1	protein_coding	myeloid leukemia factor 1 [Source:RGD Symbol;Acc:1306854]
ENSRNOG00000012872	1	0	1	ENSRNOG00000012872	Carnmt1	protein_coding	carnosine N-methyltransferase 1 [Source:RGD Symbol;Acc:1311863]
ENSRNOG00000012874	1	0	1	ENSRNOG00000012874	Rgma	protein_coding	repulsive guidance molecule BMP co-receptor a [Source:RGD Symbol;Acc:1311983]
ENSRNOG00000012947	1	0	0	ENSRNOG00000012947	Metap1	protein_coding	methionyl aminopeptidase 1 [Source:RGD Symbol;Acc:1305545]
ENSRNOG00000013048	1	0	0	ENSRNOG00000013048	Pde7a	protein_coding	phosphodiesterase 7A [Source:RGD Symbol;Acc:68391]
ENSRNOG00000013057	1	0	0	ENSRNOG00000013057	Prc1	protein_coding	protein regulator of cytokinesis 1 [Source:RGD Symbol;Acc:1311754]
ENSRNOG00000013293	1	0	0	ENSRNOG00000013293	Mccc1	protein_coding	methylcrotonoyl-CoA carboxylase 1 [Source:RGD Symbol;Acc:1310615]
ENSRNOG00000013397	1	0	0	ENSRNOG00000013397	Foxo1	protein_coding	forkhead box O1 [Source:RGD Symbol;Acc:620283]
ENSRNOG00000013411	1	0	0	ENSRNOG00000013411	Nup155	protein_coding	nucleoporin 155 [Source:RGD Symbol;Acc:621199]
ENSRNOG00000013552	1	0	1	ENSRNOG00000013552	Scd	protein_coding	stearoyl-CoA desaturase [Source:RGD Symbol;Acc:621176]
ENSRNOG00000013683	1	0	0	ENSRNOG00000013683	S1pr1	protein_coding	sphingosine-1-phosphate receptor 1 [Source:RGD Symbol;Acc:61958]
ENSRNOG00000013813	1	0	0	ENSRNOG00000013813	Ubtd1	protein_coding	ubiquitin domain containing 1 [Source:RGD Symbol;Acc:1308172]
ENSRNOG00000013953	1	0	0	ENSRNOG00000013953	Ntrk1	protein_coding	neurotrophic receptor tyrosine kinase 1 [Source:RGD Symbol;Acc:620144]
ENSRNOG00000013969	1	0	0	ENSRNOG00000013969	Ahi1	protein_coding	Abelson helper integration site 1 [Source:RGD Symbol;Acc:1303040]
ENSRNOG00000013971	1	1	1	ENSRNOG00000013971	Psat1	protein_coding	phosphoserine aminotransferase 1 [Source:RGD Symbol;Acc:735170]
ENSRNOG00000014004	1	0	0	ENSRNOG00000014004	Ncoa7	protein_coding	nuclear receptor coactivator 7 [Source:RGD Symbol;Acc:1566426]
ENSRNOG00000014041	1	0	0	ENSRNOG00000014041	Cep78	protein_coding	centrosomal protein 78 [Source:RGD Symbol;Acc:620464]
ENSRNOG00000014193	1	0	1	ENSRNOG00000014193	Lig1	protein_coding	DNA ligase 1 [Source:RGD Symbol;Acc:621424]
ENSRNOG00000014243	1	0	0	ENSRNOG00000014243	Pear1	protein_coding	platelet endothelial aggregation receptor 1 [Source:RGD Symbol;Acc:1305653]
ENSRNOG00000014254	1	1	0	ENSRNOG00000014254	Cpt1a	protein_coding	carnitine palmitoyltransferase 1A [Source:RGD Symbol;Acc:2396]
ENSRNOG00000014303	1	0	1	ENSRNOG00000014303	Lrp11	protein_coding	LDL receptor related protein 11 [Source:RGD Symbol;Acc:1308602]
ENSRNOG00000014486	1	0	0	ENSRNOG00000014486	Rfx3	protein_coding	regulatory factor X3 [Source:RGD Symbol;Acc:1307779]
ENSRNOG00000014589	1	0	0	ENSRNOG00000014589	Arpin	protein_coding	actin-related protein 2/3 complex inhibitor [Source:RGD Symbol;Acc:1311021]
ENSRNOG00000014652	1	0	0	ENSRNOG00000014652	Aqp8	protein_coding	aquaporin 8 [Source:RGD Symbol;Acc:2146]
ENSRNOG00000014684	1	0	1	ENSRNOG00000014684	Npr1	protein_coding	natriuretic peptide receptor 1 [Source:RGD Symbol;Acc:3195]
ENSRNOG00000014705	1	1	0	ENSRNOG00000014705	Rbm20	protein_coding	RNA binding motif protein 20 [Source:RGD Symbol;Acc:1307427]
ENSRNOG00000014753	1	0	1	ENSRNOG00000014753	Tcf7l1	protein_coding	transcription factor 7 like 1 [Source:RGD Symbol;Acc:1311671]
ENSRNOG00000014786	1	1	1	ENSRNOG00000014786	Ccne1	protein_coding	cyclin E1 [Source:RGD Symbol;Acc:2294]
ENSRNOG00000014902	1	0	0	ENSRNOG00000014902	Stx11	protein_coding	syntaxin 11 [Source:RGD Symbol;Acc:1304744]
ENSRNOG00000014997	1	0	1	ENSRNOG00000014997	Igf2r	protein_coding	insulin-like growth factor 2 receptor [Source:RGD Symbol;Acc:2871]
ENSRNOG00000015088	1	0	0	ENSRNOG00000015088	Prune2	protein_coding	prune homolog 2 with BCH domain [Source:RGD Symbol;Acc:1311350]
ENSRNOG00000015153	1	0	0	ENSRNOG00000015153	Ints3	protein_coding	integrator complex subunit 3 [Source:RGD Symbol;Acc:1304593]
ENSRNOG00000015232	1	0	0	ENSRNOG00000015232	Pip5k1b	protein_coding	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:RGD Symbol;Acc:1310914]
ENSRNOG00000015376	1	0	0	ENSRNOG00000015376	Npas1	protein_coding	neuronal PAS domain protein 1 [Source:RGD Symbol;Acc:1310040]
ENSRNOG00000015406	1	0	0	ENSRNOG00000015406	Pgm5	protein_coding	phosphoglucomutase 5 [Source:RGD Symbol;Acc:1307969]
ENSRNOG00000015421	1	0	0	ENSRNOG00000015421	Slc27a3	protein_coding	solute carrier family 27 member 3 [Source:RGD Symbol;Acc:1310605]
ENSRNOG00000015423	1	0	1	ENSRNOG00000015423	Ccna2	protein_coding	cyclin A2 [Source:RGD Symbol;Acc:621059]
ENSRNOG00000015465	1	0	1	ENSRNOG00000015465	Cep72	protein_coding	centrosomal protein 72 [Source:RGD Symbol;Acc:1566336]
ENSRNOG00000015491	1	0	0	ENSRNOG00000015491		protein_coding	
ENSRNOG00000015518	1	1	0	ENSRNOG00000015518	Rbp4	protein_coding	retinol binding protein 4 [Source:RGD Symbol;Acc:3546]
ENSRNOG00000015520	1	0	1	ENSRNOG00000015520	Ticrr	protein_coding	TOPBP1-interacting checkpoint and replication regulator [Source:MGI Symbol;Acc:MGI:1924261]
ENSRNOG00000015810	1	0	1	ENSRNOG00000015810	Trip13	protein_coding	thyroid hormone receptor interactor 13 [Source:RGD Symbol;Acc:1308516]
ENSRNOG00000015860	1	0	0	ENSRNOG00000015860	Gipr	protein_coding	gastric inhibitory polypeptide receptor [Source:RGD Symbol;Acc:2689]
ENSRNOG00000015911	1	0	0	ENSRNOG00000015911	Lrp5	protein_coding	LDL receptor related protein 5 [Source:RGD Symbol;Acc:1309329]
ENSRNOG00000015913	1	0	0	ENSRNOG00000015913	Tspan5	protein_coding	tetraspanin 5 [Source:RGD Symbol;Acc:1303176]
ENSRNOG00000015987	1	0	0	ENSRNOG00000015987	Rap1gds1	protein_coding	Rap1 GTPase-GDP dissociation stimulator 1 [Source:RGD Symbol;Acc:1308558]
ENSRNOG00000016013	1	0	0	ENSRNOG00000016013	Gprc5b	protein_coding	G protein-coupled receptor, class C, group 5, member B [Source:RGD Symbol;Acc:1309510]
ENSRNOG00000016102	1	0	0	ENSRNOG00000016102	Ebf3	protein_coding	EBF transcription factor 3 [Source:RGD Symbol;Acc:1304956]
ENSRNOG00000016120	1	0	0	ENSRNOG00000016120	Tlx1	protein_coding	T-cell leukemia, homeobox 1 [Source:RGD Symbol;Acc:1563655]
ENSRNOG00000016146	1	0	0	ENSRNOG00000016146		protein_coding	similar to elongation protein 4 homolog [Source:RGD Symbol;Acc:1592018]
ENSRNOG00000016213	1	0	0	ENSRNOG00000016213	Ssbp2	protein_coding	single-stranded DNA binding protein 2 [Source:RGD Symbol;Acc:1562968]
ENSRNOG00000016260	1	1	0	ENSRNOG00000016260	Polr3g	protein_coding	RNA polymerase III subunit G [Source:RGD Symbol;Acc:1593792]
ENSRNOG00000016265	1	0	0	ENSRNOG00000016265	Acsl5	protein_coding	acyl-CoA synthetase long-chain family member 5 [Source:RGD Symbol;Acc:69402]
ENSRNOG00000016343	1	0	0	ENSRNOG00000016343	Dkk3	protein_coding	dickkopf WNT signaling pathway inhibitor 3 [Source:RGD Symbol;Acc:621846]
ENSRNOG00000016358	1	0	1	ENSRNOG00000016358	Apba2	protein_coding	amyloid beta precursor protein binding family A member 2 [Source:RGD Symbol;Acc:620845]
ENSRNOG00000016368	1	0	0	ENSRNOG00000016368	Ppp1r14c	protein_coding	protein phosphatase 1, regulatory (inhibitor) subunit 14c [Source:RGD Symbol;Acc:620538]
ENSRNOG00000016372	1	0	0	ENSRNOG00000016372	Slc12a7	protein_coding	solute carrier family 12 member 7 [Source:RGD Symbol;Acc:1359672]
ENSRNOG00000016374	1	0	0	ENSRNOG00000016374	Fgfr2	protein_coding	fibroblast growth factor receptor 2 [Source:RGD Symbol;Acc:2611]
ENSRNOG00000016387	1	0	0	ENSRNOG00000016387	Rpl34	protein_coding	ribosomal protein L34 [Source:RGD Symbol;Acc:1309402]
ENSRNOG00000016408	1	0	0	ENSRNOG00000016408	Kirrel1	protein_coding	kirre like nephrin family adhesion molecule 1 [Source:RGD Symbol;Acc:727883]
ENSRNOG00000016411	1	0	0	ENSRNOG00000016411	Rps12	protein_coding	ribosomal protein S12 [Source:RGD Symbol;Acc:62024]
ENSRNOG00000016448	1	0	0	ENSRNOG00000016448	Eef2k	protein_coding	eukaryotic elongation factor-2 kinase [Source:RGD Symbol;Acc:2538]
ENSRNOG00000016496	1	0	0	ENSRNOG00000016496	Ctsc	protein_coding	cathepsin C [Source:RGD Symbol;Acc:2445]
ENSRNOG00000016550	1	0	0	ENSRNOG00000016550	Dclk2	protein_coding	doublecortin-like kinase 2 [Source:RGD Symbol;Acc:1308384]
ENSRNOG00000016552	1	0	1	ENSRNOG00000016552	Hmgcs1	protein_coding	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:RGD Symbol;Acc:70970]
ENSRNOG00000016573	1	1	0	ENSRNOG00000016573	Dgat2	protein_coding	diacylglycerol O-acyltransferase 2 [Source:RGD Symbol;Acc:620329]
ENSRNOG00000016580	1	0	0	ENSRNOG00000016580	Rps23	protein_coding	ribosomal protein S23 [Source:RGD Symbol;Acc:621039]
ENSRNOG00000016595	1	0	0	ENSRNOG00000016595	Hhex	protein_coding	hematopoietically expressed homeobox [Source:RGD Symbol;Acc:619932]
ENSRNOG00000016608	1	0	0	ENSRNOG00000016608	Zfp579	protein_coding	zinc finger protein 579 [Source:RGD Symbol;Acc:1308475]
ENSRNOG00000016656	1	0	1	ENSRNOG00000016656	Nkx2-3	protein_coding	NK2 homeobox 3 [Source:RGD Symbol;Acc:1308521]
ENSRNOG00000016679	1	0	0	ENSRNOG00000016679	Tmc7	protein_coding	transmembrane channel-like 7 [Source:RGD Symbol;Acc:1564267]
ENSRNOG00000016831	1	0	0	ENSRNOG00000016831	Serpinh1	protein_coding	serpin family H member 1 [Source:RGD Symbol;Acc:69302]
ENSRNOG00000016863	1	0	0	ENSRNOG00000016863	Pnma8b	protein_coding	PNMA family member 8B [Source:RGD Symbol;Acc:1560435]
ENSRNOG00000016877	1	0	1	ENSRNOG00000016877	Shisa7	protein_coding	shisa family member 7 [Source:RGD Symbol;Acc:1583944]
ENSRNOG00000016897	1	1	0	ENSRNOG00000016897	Rlbp1	protein_coding	retinaldehyde binding protein 1 [Source:RGD Symbol;Acc:1309649]
ENSRNOG00000016907	1	0	0	ENSRNOG00000016907	Ppp5c	protein_coding	protein phosphatase 5, catalytic subunit [Source:RGD Symbol;Acc:68415]
ENSRNOG00000016930	1	0	0	ENSRNOG00000016930	Ube2s	protein_coding	ubiquitin-conjugating enzyme E2S [Source:RGD Symbol;Acc:1564746]
ENSRNOG00000016961	1	0	0	ENSRNOG00000016961	Rps27	protein_coding	ribosomal protein S27 [Source:RGD Symbol;Acc:621045]
ENSRNOG00000017002	1	0	1	ENSRNOG00000017002	Adrb1	protein_coding	adrenoceptor beta 1 [Source:RGD Symbol;Acc:2059]
ENSRNOG00000017012	1	0	1	ENSRNOG00000017012	Coq7	protein_coding	coenzyme Q7, hydroxylase [Source:RGD Symbol;Acc:2381]
ENSRNOG00000017127	1	0	0	ENSRNOG00000017127	Rpl28	protein_coding	ribosomal protein L28 [Source:RGD Symbol;Acc:621193]
ENSRNOG00000017220	1	0	0	ENSRNOG00000017220	Tcirg1	protein_coding	T-cell immune regulator 1, ATPase H+ transporting V0 subunit A3 [Source:RGD Symbol;Acc:735136]
ENSRNOG00000017254	1	0	0	ENSRNOG00000017254	Nsun2	protein_coding	NOP2/Sun RNA methyltransferase 2 [Source:RGD Symbol;Acc:1311954]
ENSRNOG00000017406	1	0	0	ENSRNOG00000017406	Atrnl1	protein_coding	attractin like 1 [Source:RGD Symbol;Acc:1563485]
ENSRNOG00000017412	1	0	0	ENSRNOG00000017412	AABR07001512.1	protein_coding	
ENSRNOG00000017418	1	0	1	ENSRNOG00000017418	Rps3	protein_coding	ribosomal protein S3 [Source:RGD Symbol;Acc:619888]
ENSRNOG00000017524	1	0	0	ENSRNOG00000017524	Fgf8	protein_coding	fibroblast growth factor 8 [Source:RGD Symbol;Acc:70891]
ENSRNOG00000017601	1	0	0	ENSRNOG00000017601	Srd5a1	protein_coding	steroid 5 alpha-reductase 1 [Source:RGD Symbol;Acc:3757]
ENSRNOG00000017678	1	0	0	ENSRNOG00000017678	AABR07001064.1	protein_coding	
ENSRNOG00000017748	1	0	0	ENSRNOG00000017748	Nkx6-2	protein_coding	NK6 homeobox 2 [Source:RGD Symbol;Acc:1307280]
ENSRNOG00000017850	1	0	0	ENSRNOG00000017850	Dctpp1	protein_coding	dCTP pyrophosphatase 1 [Source:RGD Symbol;Acc:620933]
ENSRNOG00000017851	1	0	0	ENSRNOG00000017851	Etfb	protein_coding	electron transfer flavoprotein subunit beta [Source:RGD Symbol;Acc:1303312]
ENSRNOG00000017854	1	0	0	ENSRNOG00000017854	Ucp2	protein_coding	uncoupling protein 2 [Source:RGD Symbol;Acc:3932]
ENSRNOG00000017914	1	0	0	ENSRNOG00000017914	Cavin3	protein_coding	caveolae associated protein 3 [Source:RGD Symbol;Acc:628755]
ENSRNOG00000017930	1	0	0	ENSRNOG00000017930	Lpcat1	protein_coding	lysophosphatidylcholine acyltransferase 1 [Source:RGD Symbol;Acc:1311599]
ENSRNOG00000018019	1	0	0	ENSRNOG00000018019	Hspa12a	protein_coding	heat shock protein family A (Hsp70) member 12A [Source:RGD Symbol;Acc:1305531]
ENSRNOG00000018020	1	0	0	ENSRNOG00000018020	Apbb1	protein_coding	amyloid beta precursor protein binding family B member 1 [Source:RGD Symbol;Acc:2122]
ENSRNOG00000018042	1	0	0	ENSRNOG00000018042	Mrpl48	protein_coding	mitochondrial ribosomal protein L48 [Source:RGD Symbol;Acc:1307576]
ENSRNOG00000018237	1	0	1	ENSRNOG00000018237	Gstp1	protein_coding	glutathione S-transferase pi 1 [Source:RGD Symbol;Acc:2758]
ENSRNOG00000018262	1	0	0	ENSRNOG00000018262	Ampd3	protein_coding	adenosine monophosphate deaminase 3 [Source:RGD Symbol;Acc:2111]
ENSRNOG00000018290	1	0	0	ENSRNOG00000018290	Alx3	protein_coding	ALX homeobox 3 [Source:RGD Symbol;Acc:1359270]
ENSRNOG00000018320	1	0	0	ENSRNOG00000018320	Rps15a	protein_coding	ribosomal protein S15a [Source:RGD Symbol;Acc:619939]
ENSRNOG00000018426	1	1	1	ENSRNOG00000018426	NEWGENE_2134	protein_coding	apolipoprotein C1 [Source:RGD Symbol;Acc:2134]
ENSRNOG00000018553	1	0	1	ENSRNOG00000018553	Pitpnm1	protein_coding	phosphatidylinositol transfer protein, membrane-associated 1 [Source:RGD Symbol;Acc:1306710]
ENSRNOG00000018681	1	0	0	ENSRNOG00000018681	Nes	protein_coding	nestin [Source:RGD Symbol;Acc:3162]
ENSRNOG00000018704	1	1	1	ENSRNOG00000018704	Nolc1	protein_coding	nucleolar and coiled-body phosphoprotein 1 [Source:RGD Symbol;Acc:621578]
ENSRNOG00000018766	1	0	0	ENSRNOG00000018766	Rrp8	protein_coding	ribosomal RNA processing 8 [Source:RGD Symbol;Acc:1308302]
ENSRNOG00000018798	1	0	0	ENSRNOG00000018798	Bcan	protein_coding	brevican [Source:RGD Symbol;Acc:2194]
ENSRNOG00000018815	1	0	0	ENSRNOG00000018815	Plk1	protein_coding	polo-like kinase 1 [Source:RGD Symbol;Acc:3352]
ENSRNOG00000018827	1	0	0	ENSRNOG00000018827	Htr7	protein_coding	5-hydroxytryptamine receptor 7 [Source:RGD Symbol;Acc:71034]
ENSRNOG00000018835	1	0	0	ENSRNOG00000018835	Notch2	protein_coding	notch receptor 2 [Source:RGD Symbol;Acc:3188]
ENSRNOG00000018944	1	0	0	ENSRNOG00000018944	Pank1	protein_coding	pantothenate kinase 1 [Source:RGD Symbol;Acc:1304677]
ENSRNOG00000019090	1	0	0	ENSRNOG00000019090	Cct3	protein_coding	chaperonin containing TCP1 subunit 3 [Source:RGD Symbol;Acc:735038]
ENSRNOG00000019161	1	0	0	ENSRNOG00000019161	Cpeb1	protein_coding	cytoplasmic polyadenylation element binding protein 1 [Source:RGD Symbol;Acc:1310421]
ENSRNOG00000019163	1	0	0	ENSRNOG00000019163	Syt6	protein_coding	synaptotagmin 6 [Source:RGD Symbol;Acc:62012]
ENSRNOG00000019207	1	0	0	ENSRNOG00000019207	Shank1	protein_coding	SH3 and multiple ankyrin repeat domains 1 [Source:RGD Symbol;Acc:621011]
ENSRNOG00000019211	1	0	0	ENSRNOG00000019211	Olfml3	protein_coding	olfactomedin-like 3 [Source:RGD Symbol;Acc:1311106]
ENSRNOG00000019229	1	0	0	ENSRNOG00000019229	Fbl	protein_coding	fibrillarin [Source:RGD Symbol;Acc:1305542]
ENSRNOG00000019328	1	0	1	ENSRNOG00000019328	Phgdh	protein_coding	phosphoglycerate dehydrogenase [Source:RGD Symbol;Acc:61987]
ENSRNOG00000019414	1	0	0	ENSRNOG00000019414	Tmem79	protein_coding	transmembrane protein 79 [Source:RGD Symbol;Acc:1309886]
ENSRNOG00000019418	1	1	0	ENSRNOG00000019418	Lrrc4b	protein_coding	leucine rich repeat containing 4B [Source:RGD Symbol;Acc:1307121]
ENSRNOG00000019435	1	0	0	ENSRNOG00000019435	Psd	protein_coding	pleckstrin and Sec7 domain containing [Source:RGD Symbol;Acc:620297]
ENSRNOG00000019453	1	0	1	ENSRNOG00000019453	Rps5	protein_coding	ribosomal protein S5 [Source:RGD Symbol;Acc:3601]
ENSRNOG00000019549	1	0	1	ENSRNOG00000019549	Akap12	protein_coding	A-kinase anchoring protein 12 [Source:RGD Symbol;Acc:70988]
ENSRNOG00000019560	1	0	0	ENSRNOG00000019560	Pde2a	protein_coding	phosphodiesterase 2A [Source:RGD Symbol;Acc:620965]
ENSRNOG00000019578	1	0	1	ENSRNOG00000019578	Rps16	protein_coding	ribosomal protein S16 [Source:RGD Symbol;Acc:621031]
ENSRNOG00000019620	1	0	0	ENSRNOG00000019620	Pmf1	protein_coding	polyamine-modulated factor 1 [Source:RGD Symbol;Acc:1584694]
ENSRNOG00000019662	1	0	0	ENSRNOG00000019662	Tm6sf1	protein_coding	transmembrane 6 superfamily member 1 [Source:RGD Symbol;Acc:1307978]
ENSRNOG00000019667	1	0	0	ENSRNOG00000019667	Ppfibp2	protein_coding	PPFIA binding protein 2 [Source:RGD Symbol;Acc:1565383]
ENSRNOG00000019681	1	0	1	ENSRNOG00000019681	Pold1	protein_coding	DNA polymerase delta 1, catalytic subunit [Source:RGD Symbol;Acc:621839]
